:START_ID,:END_ID,:TYPE
2082,2287,0
3348,272,0
1431,707,0
272,743,0
743,272,0
743,615,0
506,2150,0
1239,554,0
3216,743,0
2045,2698,0
3631,1784,0
1760,2653,0
3921,3564,0
762,3285,0
2827,1246,0
2150,12,0
3414,2525,0
743,3413,0
3872,2013,0
2377,1600,0
2168,2226,0
2007,1995,0
949,3382,0
1082,481,0
2032,189,0
2197,245,1
1165,756,1
2082,2899,1
2082,262,1
2082,3897,1
2082,707,1
2082,2328,1
2082,3135,1
2082,3548,1
2082,217,1
2082,981,1
2082,2360,1
2082,2840,1
2082,743,1
2082,3285,1
2082,2467,1
2082,3154,1
2082,649,1
2082,560,1
2082,783,1
2082,1110,1
2082,2391,1
2082,1614,1
2082,934,1
2082,272,1
2082,530,1
2082,2341,1
2082,352,1
2082,3612,1
2082,1178,1
2082,3797,1
2082,207,1
2082,3886,1
2082,1400,1
2082,906,1
2082,781,1
139,2508,1
139,781,1
469,743,1
469,3116,1
469,1134,1
1605,1866,1
3566,2272,1
1299,2815,1
2508,2360,1
2508,841,1
2508,1400,1
2508,3014,1
1600,743,1
1600,2524,1
1600,3304,1
1600,3687,1
1600,3482,1
1600,783,1
1600,287,1
1600,3968,1
1600,906,1
1600,1448,1
1600,441,1
1600,2344,1
1600,2393,1
1600,1492,1
1600,1853,1
1600,1175,1
1600,1027,1
1600,1788,1
1600,3116,1
1600,2204,1
2702,191,1
2702,258,1
2702,739,1
2702,3386,1
3021,2150,1
568,3498,1
568,677,1
3666,3416,1
3666,2082,1
3666,3051,1
3666,2735,1
3666,1726,1
3666,743,1
3666,1607,1
3666,3848,1
3666,1853,1
3666,2346,1
3666,1239,1
3666,3854,1
3666,2074,1
3206,3083,1
3206,3901,1
2088,2274,1
2088,1222,1
2088,2073,1
707,217,1
707,783,1
707,2082,1
707,2817,1
707,3136,1
707,2840,1
707,2298,1
707,2682,1
707,3851,1
707,2991,1
707,951,1
707,2877,1
707,2724,1
707,561,1
707,906,1
707,1909,1
707,2055,1
707,692,1
707,3568,1
707,2038,1
707,3427,1
707,2360,1
707,1784,1
707,910,1
707,272,1
707,1239,1
707,3163,1
707,1427,1
707,1283,1
707,3396,1
707,2098,1
217,707,1
217,783,1
217,2393,1
217,2082,1
217,3548,1
217,561,1
217,3506,1
217,1807,1
217,1539,1
217,308,1
217,3436,1
217,2817,1
217,2066,1
217,2444,1
217,2308,1
217,1427,1
217,3427,1
217,3116,1
217,1087,1
217,1752,1
217,1909,1
217,2348,1
217,1257,1
217,3854,1
217,548,1
217,3718,1
217,3838,1
217,1824,1
217,15,1
217,1480,1
217,1902,1
217,2840,1
217,2927,1
217,3772,1
217,854,1
649,3030,1
649,2082,1
10,626,1
10,49,1
1178,743,1
1178,1752,1
1178,2178,1
3094,3494,1
3094,2594,1
181,3331,1
3295,2908,1
3295,1600,1
3295,1749,1
3295,3642,1
3378,1896,1
3330,3414,1
3330,559,1
3330,3498,1
